epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.378,3.27039,4.42156,4.22339,0.00227,0.49081,0.00253,0.001,2.88529,4.52389,4.143,0.0003636,0.0003636,0.0003636
2,563.032,3.18687,4.24976,3.97161,0.00212,0.44793,0.0051,0.00163,2.94047,4.43601,4.29211,0.000726667,0.000726667,0.000726667
3,826,3.01066,4.16741,3.64536,0.00337,0.51108,0.00993,0.00233,2.84848,4.42786,3.97248,0.0010824,0.0010824,0.0010824
4,1120.11,2.81672,4.09273,3.39812,0.26446,0.08078,0.00572,0.00094,3.68049,650.738,9.2083,0.001078,0.001078,0.001078
5,1403.96,2.7316,3.96612,3.2329,0.00348,0.59007,0.0147,0.00378,2.61856,4.35868,3.6857,0.001067,0.001067,0.001067
6,1663.47,2.62464,3.85417,3.13269,0.21494,0.06932,0.02844,0.00874,2.47414,5.56972,3.11668,0.00105601,0.00105601,0.00105601
7,1921.23,2.47032,3.72818,2.95363,0.42021,0.01345,0.03366,0.01046,2.35129,4.00756,3.16283,0.00104501,0.00104501,0.00104501
8,2188.85,2.29789,3.63216,2.81222,0.03825,0.08666,0.03074,0.0124,2.28464,4.30538,2.92821,0.00103401,0.00103401,0.00103401
9,2457.47,2.21828,3.54119,2.70996,0.30731,0.02656,0.0537,0.0218,2.13481,3.76312,2.82639,0.00102301,0.00102301,0.00102301
10,2713.34,2.17689,3.49338,2.68867,0.04956,0.03556,0.02971,0.00998,2.12841,3.93312,2.80071,0.00101201,0.00101201,0.00101201
11,2953.07,2.09356,3.38776,2.59896,0.05504,0.08771,0.05416,0.02598,2.01782,3.89059,2.66915,0.00100101,0.00100101,0.00100101
12,3185.31,2.04659,3.3409,2.54568,0.25837,0.11301,0.05491,0.02317,2.05806,3.67251,2.69139,0.000990012,0.000990012,0.000990012
13,3418.4,2.03739,3.3099,2.52791,0.1082,0.11836,0.06279,0.02736,2.02879,3.57289,2.69766,0.000979013,0.000979013,0.000979013
14,3650.57,1.9562,3.16783,2.43804,0.61768,0.04019,0.07178,0.03623,1.92931,3.45944,2.55725,0.000968014,0.000968014,0.000968014
15,3883.54,1.94132,3.16511,2.42922,0.30734,0.13102,0.0948,0.03516,1.90727,3.56531,2.55309,0.000957015,0.000957015,0.000957015
16,4124.8,1.90748,3.12728,2.40296,0.10885,0.06899,0.09008,0.0393,1.91861,3.41431,2.54794,0.000946016,0.000946016,0.000946016
17,4361.83,1.87222,3.03628,2.35835,0.11429,0.12776,0.09431,0.05408,1.82463,3.29681,2.4426,0.000935018,0.000935018,0.000935018
18,4600.18,1.85013,2.98826,2.3252,0.2212,0.21037,0.15618,0.0852,1.76141,3.25463,2.40566,0.000924019,0.000924019,0.000924019
19,4835.05,1.80329,2.91462,2.27864,0.21401,0.20617,0.13864,0.07399,1.86194,3.22792,2.46313,0.00091302,0.00091302,0.00091302
20,5068.21,1.77671,2.87926,2.26582,0.42018,0.16828,0.15728,0.08653,1.8132,3.09691,2.42235,0.000902021,0.000902021,0.000902021
21,5302.45,1.76956,2.84108,2.24903,0.15885,0.2416,0.16064,0.08649,1.87563,3.20011,2.51306,0.000891022,0.000891022,0.000891022
22,5536.92,1.7378,2.81889,2.22014,0.18577,0.32631,0.16223,0.08862,1.75294,3.16148,2.38974,0.000880023,0.000880023,0.000880023
23,5770.41,1.72725,2.80106,2.19815,0.18644,0.34144,0.18453,0.10838,1.76189,3.28126,2.34795,0.000869024,0.000869024,0.000869024
24,6004.01,1.72606,2.77478,2.19497,0.21437,0.21754,0.14406,0.0792,1.85654,3.16521,2.51776,0.000858025,0.000858025,0.000858025
25,6238.29,1.67933,2.68385,2.15247,0.27886,0.2888,0.21269,0.12056,1.76143,2.94774,2.36108,0.000847026,0.000847026,0.000847026
26,6472.29,1.6914,2.66619,2.14976,0.29106,0.27116,0.21573,0.11784,1.75345,2.86874,2.35896,0.000836027,0.000836027,0.000836027
27,6706.57,1.64097,2.61541,2.11655,0.28891,0.28252,0.24282,0.13999,1.76643,2.84041,2.41833,0.000825029,0.000825029,0.000825029
28,6941.97,1.64905,2.56872,2.11644,0.19207,0.28705,0.14503,0.08221,1.76105,2.94294,2.35059,0.00081403,0.00081403,0.00081403
29,7177.45,1.62913,2.58511,2.07755,0.24492,0.30491,0.22675,0.13177,1.73359,2.86693,2.33434,0.000803031,0.000803031,0.000803031
30,7413.06,1.61819,2.52473,2.08994,0.23958,0.28141,0.20286,0.12517,1.78431,2.93921,2.38508,0.000792032,0.000792032,0.000792032
31,7648.68,1.57728,2.50033,2.05314,0.27086,0.33615,0.20625,0.12227,1.6986,2.80916,2.32975,0.000781033,0.000781033,0.000781033
32,7884.52,1.59454,2.4488,2.0516,0.34691,0.28127,0.29079,0.17875,1.68268,2.67608,2.29092,0.000770034,0.000770034,0.000770034
33,8120.36,1.56627,2.42813,2.02953,0.29366,0.34521,0.24782,0.15341,1.80203,2.80607,2.43657,0.000759035,0.000759035,0.000759035
34,8355.95,1.54053,2.41435,2.01571,0.33327,0.30049,0.28913,0.18128,1.64306,2.69025,2.24779,0.000748036,0.000748036,0.000748036
35,8591.46,1.53874,2.39292,2.00801,0.3807,0.30888,0.30084,0.1937,1.70454,2.66607,2.26743,0.000737037,0.000737037,0.000737037
36,8827.28,1.55079,2.38423,2.02164,0.40122,0.28006,0.30523,0.17895,1.70418,2.59151,2.27979,0.000726038,0.000726038,0.000726038
37,9062.85,1.50151,2.3313,1.98225,0.3162,0.35617,0.33764,0.1976,1.69827,2.6194,2.2992,0.00071504,0.00071504,0.00071504
38,9298.52,1.4782,2.33477,1.97446,0.3522,0.31376,0.3036,0.19558,1.66325,2.54638,2.25447,0.000704041,0.000704041,0.000704041
39,9533.74,1.5312,2.31415,1.99493,0.31268,0.325,0.27296,0.17273,1.63704,2.61656,2.21429,0.000693042,0.000693042,0.000693042
40,9769.52,1.5002,2.26636,1.96832,0.40094,0.30723,0.32514,0.18797,1.65678,2.63116,2.27386,0.000682043,0.000682043,0.000682043
41,10005.3,1.48705,2.27627,1.94907,0.29569,0.44552,0.33075,0.22178,1.6406,2.59286,2.2121,0.000671044,0.000671044,0.000671044
42,10243.4,1.46967,2.22465,1.92974,0.42234,0.2832,0.30545,0.19333,1.67814,2.57225,2.24052,0.000660045,0.000660045,0.000660045
43,10479.3,1.43935,2.17473,1.90229,0.23745,0.28341,0.1851,0.11262,1.65279,2.82163,2.20258,0.000649046,0.000649046,0.000649046
44,10715.4,1.43137,2.19208,1.9063,0.24084,0.38039,0.24255,0.1557,1.64419,2.63034,2.2343,0.000638047,0.000638047,0.000638047
45,10951.7,1.45709,2.20146,1.92801,0.42807,0.34271,0.33787,0.22955,1.62806,2.48565,2.18016,0.000627048,0.000627048,0.000627048
